"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WSFG"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-01",," 0442","0.0",,"8.9","1.1","11.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-02",," 2218","0.0",,"8.3","-1.7","8.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-03",," 1430","0.0",,"11.7","3.3","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-04",," 0336","0.0",,"13.3","0.6","9.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-05",," 1706","0.0",,"11.1","1.7","7.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-06",," 1648","0.0",,"11.1","4.4","5.7"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-07",," 2148","2.3",,"16.7","8.3","10.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-08",," 0548","11.2",,"12.2","9.4","8.7"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-09",," 1124","24.6",,"10.6","7.8","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-10",," 1118","1.8",,"12.8","7.2","7.7"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-11",," 1824","16.8",,"12.8","6.7","17.5"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-12",," 0224","0.0",,"11.7","4.4","11.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-13",," 2306","3.6",,"10.0","1.7","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-14",," 1342","18.5",,"10.0","3.3","10.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-15",," 0142","0.0",,"11.7","3.9","9.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-16",," 1636","0.0",,"12.8","2.2","9.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-17",," 1424","0.0",,"12.8","2.8","7.7"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-18",," 1430","0.0",,"9.4","5.0","4.6"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-01-19",," 0954","0.0",,"11.7","4.4","4.6"
